sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,turnover,benefit,relationship,x_metric,y_metric,x_bin,record_type,x_mean,y_mean,y_sd,n_rows,n_samples,ci_low,ci_high
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.010606060606060619,0.011392606422305107,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0.0,snapkv,,,16.0,0.033333333333333326,-0.0021987594664096832,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0.0,v_ridge_leverage,,,16.0,0.02878787878787877,-0.0019382219761610031,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.009090909090909075,0.0075129009783267975,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,0.0,snapkv,,,16.0,0.0060606060606061,-0.0023856665939092636,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,0.0,v_ridge_leverage,,,16.0,0.015151515151515174,-0.0014127548784017563,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.013636363636363558,0.010442739352583885,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,0.0,snapkv,,,16.0,0.0015151515151515065,-0.0026904288679361343,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,0.0,v_ridge_leverage,,,16.0,0.03636363636363634,0.002129809930920601,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.007575757575757606,5.434275954030454e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,0.0,snapkv,,,16.0,0.009090909090909038,4.564353730529547e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,0.0,v_ridge_leverage,,,16.0,0.1681818181818182,3.420296707190573e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.012121212121212088,5.7917553931474686e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,0.0,snapkv,,,16.0,0.036363636363636376,2.5860790628939867e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,0.0,v_ridge_leverage,,,16.0,0.0045454545454545565,4.838404129259288e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.015151515151515174,6.079605554987211e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,0.0,snapkv,,,16.0,0.009090909090909038,5.841191523359157e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,0.0,v_ridge_leverage,,,16.0,0.006060606060606026,5.364358912629541e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.013636363636363632,9.448782657273114e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,0.0,snapkv,,,16.0,0.03636363636363634,5.624038749374449e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,0.0,v_ridge_leverage,,,16.0,0.16515151515151513,5.7431316236034036e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,0.0,attention_weighted_v_ridge_leverage,,,16.0,0.010606060606060619,0.00011011700553353876,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,0.0,snapkv,,,16.0,0.04545454545454549,6.983750790823251e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,0.0,v_ridge_leverage,,,16.0,0.010606060606060619,9.486351336818188e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.019696969696969657,0.003993902879301459,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,snapkv,,,32.0,0.26818181818181813,0.0024948227510321885,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,16.0,v_ridge_leverage,,,32.0,0.03484848484848487,0.037114488426595926,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.013636363636363632,0.36552826047409326,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,16.0,snapkv,,,32.0,0.17272727272727273,0.007633267727214843,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,16.0,v_ridge_leverage,,,32.0,0.016666666666666646,0.3501901134150103,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.025757575757575757,1.5496971172979102e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,16.0,snapkv,,,32.0,0.2924242424242424,4.410723249748116e-06,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,16.0,v_ridge_leverage,,,32.0,0.015151515151515138,-0.00017637856944929808,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.030303030303030276,0.02026931755244732,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,16.0,snapkv,,,32.0,0.28636363636363643,-0.0011995411477982998,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,16.0,v_ridge_leverage,,,32.0,0.01818181818181815,0.009146081749349833,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.01969696969696973,0.01673118770122528,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,16.0,snapkv,,,32.0,0.48333333333333334,1.599413632415235,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,16.0,v_ridge_leverage,,,32.0,0.03181818181818186,1.6697564125061035,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.019696969696969695,0.09341742870128655,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16.0,snapkv,,,32.0,0.1272727272727273,0.05000948547603912,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16.0,v_ridge_leverage,,,32.0,0.028787878787878807,0.09096355791189126,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.0272727272727273,-0.01301540993154049,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16.0,snapkv,,,32.0,0.17121212121212123,0.0037054531276226044,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16.0,v_ridge_leverage,,,32.0,0.030303030303030314,-0.0015399232506752014,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.019696969696969657,-0.07647858560085297,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16.0,snapkv,,,32.0,0.1909090909090909,-0.02854865789413452,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16.0,v_ridge_leverage,,,32.0,0.022727272727272707,-0.0318661630153656,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.021212121212121238,0.3174990117549896,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,16.0,snapkv,,,32.0,0.11969696969696968,0.002840667963027954,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,16.0,v_ridge_leverage,,,32.0,0.02575757575757572,0.5992709398269653,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.02424242424242425,0.631676197052002,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,16.0,snapkv,,,32.0,0.11212121212121211,0.7168592810630798,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,16.0,v_ridge_leverage,,,32.0,0.019696969696969657,0.6167123317718506,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.0045454545454545565,-0.050815701484680176,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,16.0,snapkv,,,32.0,0.010606060606060619,0.020364224910736084,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,16.0,v_ridge_leverage,,,32.0,0.009090909090909075,-0.06915199756622314,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.006060606060606062,0.24208486080169678,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,16.0,snapkv,,,32.0,0.08939393939393936,0.12424039840698242,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,16.0,v_ridge_leverage,,,32.0,0.18787878787878787,0.2519572973251343,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0939, 0.483]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.006060606060606062,0.1472398042678833,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,16.0,snapkv,,,32.0,0.019696969696969695,0.18056178092956543,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0152, 0.0248]",raw,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,16.0,v_ridge_leverage,,,32.0,0.006060606060606026,0.18230795860290527,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.010606060606060619,-0.04011910408735275,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,16.0,snapkv,,,32.0,0.0,-0.03349769115447998,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,16.0,v_ridge_leverage,,,32.0,0.007575757575757569,-0.035419873893260956,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,16.0,attention_weighted_v_ridge_leverage,,,32.0,0.007575757575757569,1.954917752300389e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(-0.001, 0.00758]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,16.0,snapkv,,,32.0,0.07424242424242426,2.2767566406400874e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.0248, 0.0939]",raw,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,16.0,v_ridge_leverage,,,32.0,0.010606060606060619,1.6688340110704303e-05,selected-set turnover -> sparse refresh benefit,selected_core_turnover,refresh_benefit,"(0.00758, 0.0152]",raw,,,,,,,
,,,,,,,,,,,,,,binned_summary,0.00574162679425837,0.07427063467390613,0.12093263043825038,19.0,13.0,0.008530907916458136,0.14001036143135412
,,,,,,,,,,,,,,binned_summary,0.011051693404634565,0.016142055999700783,0.09262593258007279,17.0,11.0,-0.0385963721712738,0.07088048417067536
,,,,,,,,,,,,,,binned_summary,0.01877104377104376,0.14444440328280608,0.4143690683521615,18.0,11.0,-0.100432067619773,0.3893208741853852
,,,,,,,,,,,,,,binned_summary,0.03956228956228956,0.14047897392235123,0.40711963505041937,18.0,12.0,-0.08987064434861575,0.3708285921933182
,,,,,,,,,,,,,,binned_summary,0.24638047138047137,0.19893609019858458,0.4462321155402987,18.0,13.0,-0.04363845101257416,0.44151063140974334
